geonlp_id,entry_id,prefix,prefix_kana,body,body_kana,suffix,suffix_kana,ne_class,latitude,longitude
"MPdQgP","680",,,"クロアチア","クロアチア","共和国/","キョウワコク/","国","45.81","15.96"
"uLcIYS","690",,,"グレートブリテン及び北アイルランド","グレートブリテンオヨビキタアイルランド","連合王国","レンゴウオウコク","国","51.5","-0.13"
"cHbBGV","700",,,"ケニア","ケニア","共和国/","キョウワコク/","国","-1.27","36.81"
"UDauoY","710",,,"コスタリカ","コスタリカ","共和国/","キョウワコク/","国","9.93","-84.08"
"Cz9n71","720",,,"コソボ","コソボ","共和国/","キョウワコク/","国","42.65","21.17"
"kv8fP4","730",,,"コートジボワール","コートジボワール","共和国/","キョウワコク/","国","6.82","-5.28"
"2r78x7","740",,,"コモロ","コモロ","連合/","レンゴウ/","国","-11.7","43.24"
"Kn61fa","750",,,"コロンビア","コロンビア","共和国/","キョウワコク/","国","4.61","-74.08"
"sj4TXd","760",,,"コンゴ","コンゴ","共和国/","キョウワコク/","国","-4.27","15.28"
"af3MFg","770",,,"コンゴ","コンゴ","民主共和国/","ミンシュキョウワコク/","国","-4.33","15.32"
"Sb2Fnj","780",,,"サウジアラビア","サウジアラビア","王国/","オウコク/","国","24.64","46.72"
"A71y5m","790",,,"サモア","サモア","独立国/","ドクリツコク/","国","-13.83","-171.75"
"i30qNp","800",,,"サントメ・プリンシペ","サントメプリンシペ","民主共和国/","ミンシュキョウワコク/","国","0.34","6.73"
"ZYZjvs","810",,,"ザンビア","ザンビア","共和国/","キョウワコク/","国","-15.41","28.29"
"HUYcdv","820",,,"サンマリノ","サンマリノ","共和国/","キョウワコク/","国","43.96","12.46"
"pQX4Vy","830",,,"シエラレオネ","シエラレオネ","共和国/","キョウワコク/","国","8.48","-13.23"
"7MVXDB","840",,,"ジブチ","ジブチ","共和国/","キョウワコク/","国","11.99","42.52"
"PIUQlE","850",,,"ジャマイカ","ジャマイカ",,,"国","17.98","-76.8"
"xETJ3H","860",,,"シリア","シリア","アラブ共和国/","アラブキョウワコク/","国","33.52","36.31"
"fASBLK","870",,,"シンガポール","シンガポール","共和国/","キョウワコク/","国","1.29","103.85"
"XwRutN","880",,,"ジンバブエ","ジンバブエ","共和国/","キョウワコク/","国","-17.83","31.05"
"FsQnbQ","890",,,"スイス","スイス","連邦/","レンポウ/","国","46.95","7.45"
"noPfTT","900",,,"スウェーデン","スウェーデン","王国/","オウコク/","国","59.33","18.06"
"5kO8BW","910",,,"スーダン","スーダン","共和国/","キョウワコク/","国","15.55","32.53"
"NgN1jZ","920",,,"スペイン","スペイン",,,"国","40.42","-3.7"
"vcLU22","930",,,"スリナム","スリナム","共和国/","キョウワコク/","国","5.82","-55.17"
"d8KMK5","940",,,"スリランカ","スリランカ","民主社会主義共和国/","ミンシュシャカイシュギキョウワコク/","国","6.9","79.9"
"V4JFs8","950",,,"スロバキア","スロバキア","共和国/","キョウワコク/","国","48.15","17.13"
"D0Iyab","960",,,"スロベニア","スロベニア","共和国/","キョウワコク/","国","46.06","14.5"
"kWHqSe","970",,,"スワジランド","スワジランド","王国/","オウコク/","国","-26.32","31.14"
"2SGjAh","980",,,"赤道ギニア","セキドウギニア","共和国/","キョウワコク/","国","3.75","8.78"
"KOFcik","990",,,"セーシェル","セーシェル","共和国/","キョウワコク/","国","-4.61","55.44"
"sKE50n","1000",,,"セネガル","セネガル","共和国/","キョウワコク/","国","14.69","-17.45"
"aGCXIq","1010",,,"セルビア","セルビア","共和国/","キョウワコク/","国","44.8","20.48"
"SCBQqt","1020",,,"セントクリストファー・ネーヴィス","セントクリスファーネーヴィス",,,"国","17.3","-62.73"
"AyAJ8w","1030",,,"セントビンセント及びグレナディーン","セントビンセントオヨビグレナディーン","諸島/","ショトウ/","国","13.2","-61.27"
"iuzBQz","1040",,,"セントルシア","セントルシア",,,"国","14","-60.98"
"0qyuyC","1050",,,"ソマリア","ソマリア","共和国/","キョウワコク/","国","2.08","45.33"
"ImxngF","1060",,,"ソロモン","ソロモン","諸島/","ショトウ/","国","-9.43","159.95"
"qiwfYI","1070",,,"タイ","タイ","王国/","オウコク/","国","13.73","100.52"
"8ev8GL","1080",,,"大韓民国","ダイカンミンコク",,,"国","37.53","126.96"
"Qau1oO","1090",,,"タジキスタン","タジキスタン","共和国/","キョウワコク/","国","38.57","68.78"
"y6sU6R","1100",,,"タンザニア","タンザニア","連合共和国/","レンゴウキョウワコク/","国","-6.82","39.27"
"g2rMOU","1110",,,"チェコ","チェコ","共和国/","キョウワコク/","国","50.08","14.44"
"XYqFwX","1120",,,"チャド","チャド","共和国/","キョウワコク/","国","12.1","15.03"
"FUpyf0","1130",,,"中央アフリカ","チュウオウアフリカ","共和国/","キョウワコク/","国","4.36","18.56"
"nQoqX3","1140",,,"中華","チュウカ","人民共和国","ジンミンキョウワコク","国","39.91","116.4"
"5MnjF6","1150",,,"チュニジア","チュニジア","共和国/","キョウワコク/","国","36.82","10.17"
"NImcn9","1160",,,"チリ","チリ","共和国/","キョウワコク/","国","-33.47","-70.64"
"vEl55c","1170",,,"ツバル","ツバル",,,"国","-8.51","179.18"
"dAjXNf","1180",,,"デンマーク","デンマーク","王国/","オウコク/","国","55.68","12.57"
"VwiQvi","1190",,,"ドイツ","ドイツ","連邦共和国/","レンポウキョウワコク/","国","52.52","13.41"
"DshJdl","1200",,,"トーゴ","トーゴ","共和国/","キョウワコク/","国","6.12","1.23"
"logBVo","1210",,,"ドミニカ","ドミニカ","国/","コク/","国","15.3","-61.39"
"3kfuDr","1220",,,"ドミニカ","ドミニカ","共和国/","キョウワコク/","国","18.48","-69.92"
"Lgenlu","1230",,,"トリニダード・トバゴ","トリニダードドバゴ","共和国/","キョウワコク/","国","10.66","-61.48"
