geonlp_id,entry_id,body,body_kana,hypernym,ne_class,latitude,longitude,県コード,水系コード,河川コード,区間種別
"pE8QLE","383801470005","下川川",,"愛媛県","河川湖沼/河川","34.02291074","133.6550898","38","380147","3801470005","3"
"7A7JtH","383801470006","柴生北川",,"愛媛県","河川湖沼/河川","34.00556443","133.62914261","38","380147","3801470006","3"
"Pw6CbK","383801470007","日浦谷川",,"愛媛県/金生川","河川湖沼/河川","34.00891205","133.63671706","38","380147","3801470007","3"
"xs5uTN","383801470008","横川川",,"愛媛県/金生川","河川湖沼/河川","33.98291028","133.62127917","38","380147","3801470008","3"
"fo4nBQ","383801470009","古下田川",,"愛媛県/金生川","河川湖沼/河川","33.98157709","133.62751767","38","380147","3801470009","3"
"Xk3gjT","383801470010","庄田川",,"愛媛県/金生川","河川湖沼/河川","33.98576319","133.63378429","38","380147","3801470010","3"
"Fg291W","383801470011","利家川",,"愛媛県/金生川","河川湖沼/河川","33.98759304","133.64215648","38","380147","3801470011","3"
"nc11JZ","383801470012","谷川",,"愛媛県/金生川","河川湖沼/河川","33.99195856","133.65545334","38","380147","3801470012","3"
"57ZUs2","383801470013","久保ノ内川",,"愛媛県/金生川","河川湖沼/河川","33.99441713","133.66738071","38","380147","3801470013","3"
"N3YNa5","383801480001","三谷川",,"愛媛県","河川湖沼/河川","34.0285506","133.59076626","38","380148","3801480001","3"
"uZXFS8","383801490001","千歳川",,"愛媛県","河川湖沼/河川","33.97782992","132.60265357","38","380149","3801490001","3"
"cVWyAb","383801500001","大川",,"愛媛県","河川湖沼/河川","33.97095833","132.59331333","38","380150","3801500001","3"
"URVrie","383801510001","皇ノ川",,"愛媛県","河川湖沼/河川","33.95479813","132.60426842","38","380151","3801510001","3"
"CNUk0h","383801520001","天神川",,"愛媛県","河川湖沼/河川","33.95890944","132.61209917","38","380152","3801520001","3"
"kJTcIk","383801530001","山狩川",,"愛媛県","河川湖沼/河川","33.97455129","132.62336846","38","380153","3801530001","3"
"2FS5qn","383801540001","流内川",,"愛媛県","河川湖沼/河川","33.97781285","132.62456434","38","380154","3801540001","3"
"KBQY8q","383801550001","中村川",,"愛媛県","河川湖沼/河川","33.9804792","132.62926086","38","380155","3801550001","3"
"sxPQQt","383801560001","沢津川",,"愛媛県","河川湖沼/河川","34.27955188","133.21658544","38","380156","3801560001","3"
"atOJyw","383801570001","引野川",,"愛媛県","河川湖沼/河川","34.26823414","133.2044451","38","380157","3801570001","3"
"SpNCgz","383801580001","船越川",,"愛媛県","河川湖沼/河川","34.25889414","133.16100398","38","380158","3801580001","3"
"AlMuYC","383801590001","長江川",,"愛媛県","河川湖沼/河川","34.2679211","133.1541212","38","380159","3801590001","3"
"ihLnGF","383801600001","小漕川",,"愛媛県","河川湖沼/河川","34.27420944","133.14513472","38","380160","3801600001","3"
"0dKgoI","383801610001","樋ノ口川",,"愛媛県","河川湖沼/河川","34.20406048","133.11423423","38","380161","3801610001","3"
"I9J96L","383801620001","中川",,"愛媛県","河川湖沼/河川","34.22545108","133.09535396","38","380162","3801620001","3"
"q5I1OO","383801630001","戸坂川",,"愛媛県","河川湖沼/河川","34.25673246","133.0457327","38","380163","3801630001","3"
"81GUwR","383801640001","古戸川",,"愛媛県","河川湖沼/河川","34.26299444","133.03821722","38","380164","3801640001","3"
