geonlp_id,entry_id,body,suffix,body_kana,suffix_kana,fullname,fullname_kana,hypernym,ne_class,latitude,longitude,state_code,city_code,種別,設置者,管理者,運用時間（開始）,運用時間（終了）,滑走路長さ,滑走路幅
"qW0ZGY","sf12","紋別","空港/","モンベツ","クウコウ/","紋別空港","モンベツクウコウ","北海道/紋別市","航空施設/空港","44.304167","143.404167","01","01219","空港整備法に基づく第三種空港","5","5","0900","1700","2000","45"
"8RZSp1","sf13","旭川","空港/","アサヒカワ","クウコウ/","旭川空港","アサヒカワクウコウ","北海道/上川郡/東神楽町","航空施設/空港","43.670833","142.4475","01","01453","空港整備法に基づく第二種空港","1","6","0800","2100","2500","60"
"QNYL74","sf14","新千歳","空港/","シンチトセ","クウコウ/","新千歳空港","シンチトセクウコウ","北海道/千歳市","航空施設/空港","42.775278","141.6925","01","01224","空港整備法に基づく第二種空港","1","1","0000","2400","3000","60"
"yJXDP7","sf15","札幌","飛行場/","サッポロ","ヒコウジョウ/","札幌飛行場","サッポロヒコウジョウ","北海道/札幌市/東区","航空施設/空港","43.1175","141.381389","01","01103","自衛隊、米軍との共用飛行場","2","2","0730","2030","1500","45"
"gFWwxa","sf16","函館","空港/","ハコダテ","クウコウ/","函館空港","ハコダテクウコウ","北海道/函館市","航空施設/空港","41.77","140.821944","01","01202","空港整備法に基づく第二種空港","1","1","0730","2030","3000","45"
"YBVpfd","sf17","青森","空港/","アオモリ","クウコウ/","青森空港","アオモリクウコウ","青森県/青森市","航空施設/空港","40.733333","140.688611","02","02201","空港整備法に基づく第三種空港","5","5","0730","2130","3000","60"
"GxUhXg","sf18","三沢","飛行場/","ミサワ","ヒコウジョウ/","三沢飛行場","ミサワヒコウジョウ","青森県/三沢市","航空施設/空港","40.705278","141.369444","02","02207","自衛隊、米軍との共用飛行場","3","3","0830","2000","3050","45"
"otTaFj","sf19","大館能代","空港/","オオダテノシロ","クウコウ/","大館能代空港","オオダテノシロクウコウ","秋田県/北秋田市","航空施設/空港","40.191944","140.371667","05","05213","空港整備法に基づく第三種空港","5","5","0800","1930","2000","45"
"6pS3nm","sf20","秋田","空港/","アキタ","クウコウ/","秋田空港","アキタクウコウ","秋田県/秋田市","航空施設/空港","39.615556","140.218611","05","05201","空港整備法に基づく第二種空港","1","5","0700","2130","2500","60"
"OlQW5p","sf21","花巻","空港/","ハナマキ","クウコウ/","花巻空港","ハナマキクウコウ","岩手県/花巻市","航空施設/空港","39.428611","141.135278","03","03205","空港整備法に基づく第三種空港","5","5","0800","2130","2500","45"
"whPONs","sf22","庄内","空港/","ショウナイ","クウコウ/","庄内空港","ショウナイクウコウ","山形県/酒田市","航空施設/空港","38.812222","139.787222","06","06204","空港整備法に基づく第三種空港","5","5","0700","2200","2000","45"
"edOHvv","sf23","山形","空港/","ヤマガタ","クウコウ/","山形空港","ヤマガタクウコウ","山形県/東根市","航空施設/空港","38.411944","140.371111","06","06211","空港整備法に基づく第二種空港","1","5","0800","1930","2000","45"
"W9NAdy","sf24","仙台","空港/","センダイ","クウコウ/","仙台空港","センダイクウコウ","宮城県/名取市","航空施設/空港","38.139722","140.916944","04","04207","空港整備法に基づく第二種空港","1","1","0730","2130","3000","45"
"E5MsVB","sf25","福島","空港/","フクシマ","クウコウ/","福島空港","フクシマクウコウ","福島県/石川郡/玉川村","航空施設/空港","37.2275","140.428056","07","07502","空港整備法に基づく第三種空港","5","5","0830","2000","2500","60"
"m1LlDE","sf26","調布","飛行場/","チョウフ","ヒコウジョウ/","調布飛行場","チョウフヒコウジョウ","東京都/調布市","航空施設/空港","35.671667","139.528056","13","13208","その他の公共飛行場","5","5","0830","1800","800","30"
"3XKelH","sf27","神津島","空港/","コウヅシマ","クウコウ/","神津島空港","コウヅシマクウコウ","東京都/神津島村","航空施設/空港","34.189444","139.133611","13","13364","空港整備法に基づく第三種空港","5","5","0830","1630","800","25"
